activity_id,rep_id,hcp_id,account_id,date_id,activity_type,status,time_of_day,duration_min
1,1,1000000022,1000,20240801,call,completed,10:45,20
2,1,1000000002,1004,20240801,lunch_meeting,completed,12:30,70
3,1,1000000009,1006,20240802,lunch_meeting,completed,12:00,83
4,1,1000000002,1005,20240805,call,completed,08:00,45
5,1,1000000008,1003,20240805,call,completed,11:15,30
6,1,1000000004,1003,20240806,lunch_meeting,completed,12:15,79
7,1,1000000020,1001,20240806,call,cancelled,09:00,44
8,1,1000000019,1006,20240807,lunch_meeting,cancelled,11:00,78
9,1,1000000027,1003,20240808,call,completed,12:00,40
10,1,1000000019,1000,20240808,lunch_meeting,completed,13:15,62
11,1,1000000001,1006,20240809,lunch_meeting,completed,12:45,82
12,1,1000000006,1004,20240813,lunch_meeting,completed,13:30,68
13,1,1000000028,1003,20240814,call,completed,15:15,39
14,1,1000000019,1006,20240815,lunch_meeting,completed,12:15,75
15,1,1000000026,1004,20240819,lunch_meeting,completed,13:30,88
16,1,1000000018,1000,20240820,call,completed,14:45,32
17,1,1000000016,1007,20240822,lunch_meeting,completed,11:30,67
18,1,1000000013,1003,20240822,lunch_meeting,completed,12:45,77
19,1,1000000014,1005,20240823,lunch_meeting,completed,12:30,68
20,1,1000000007,1005,20240828,call,completed,10:15,21
21,1,1000000024,1007,20240828,lunch_meeting,completed,13:30,69
22,1,1000000008,1005,20240902,call,completed,16:15,23
23,1,1000000010,1002,20240905,lunch_meeting,completed,11:30,75
24,1,1000000016,1007,20240905,lunch_meeting,completed,11:30,90
25,1,1000000004,1001,20240906,lunch_meeting,completed,13:30,81
26,1,1000000010,1001,20240912,call,completed,14:15,39
27,1,1000000017,1006,20240912,lunch_meeting,cancelled,12:45,69
28,1,1000000024,1001,20240916,call,completed,12:00,20
29,1,1000000008,1002,20240916,call,completed,14:45,37
30,1,1000000016,1004,20240917,call,completed,12:45,17
31,1,1000000022,1003,20240917,lunch_meeting,completed,13:30,81
32,1,1000000004,1003,20240919,call,cancelled,10:00,16
33,1,1000000020,1004,20240923,lunch_meeting,completed,13:15,82
34,1,1000000009,1007,20240924,lunch_meeting,completed,11:45,83
35,1,1000000020,1004,20240925,call,completed,17:00,39
36,1,1000000027,1004,20240926,call,completed,10:45,31
37,1,1000000021,1007,20240926,lunch_meeting,completed,13:15,80
38,1,1000000003,1007,20240927,lunch_meeting,completed,12:00,87
39,1,1000000014,1007,20241001,lunch_meeting,completed,12:00,74
