hcp_id,date_id,brand_code,trx_cnt,nrx_cnt
1000000001,20240801,GAZYVA,11,5
1000000001,20240901,GAZYVA,23,7
1000000001,20241001,GAZYVA,30,6
1000000001,20241101,GAZYVA,20,6
1000000001,20241201,GAZYVA,27,11
1000000001,20250101,GAZYVA,26,11
1000000001,20250201,GAZYVA,25,12
1000000001,20250301,GAZYVA,5,1
1000000001,20250401,GAZYVA,10,3
1000000001,20250501,GAZYVA,29,13
1000000001,20250601,GAZYVA,24,8
1000000001,20250701,GAZYVA,29,8
1000000001,20250801,GAZYVA,15,6
1000000001,20250901,GAZYVA,16,3
1000000001,20251001,GAZYVA,27,7
1000000001,20251101,GAZYVA,29,8
1000000001,20251201,GAZYVA,28,13
1000000002,20240801,GAZYVA,9,4
1000000002,20240901,GAZYVA,8,2
1000000002,20241001,GAZYVA,11,2
1000000002,20241101,GAZYVA,18,7
1000000002,20241201,GAZYVA,22,10
1000000002,20250101,GAZYVA,30,6
1000000002,20250201,GAZYVA,17,7
1000000002,20250301,GAZYVA,13,5
1000000002,20250401,GAZYVA,29,13
1000000002,20250501,GAZYVA,11,3
1000000002,20250601,GAZYVA,11,4
1000000002,20250701,GAZYVA,29,10
1000000002,20250801,GAZYVA,7,2
1000000002,20250901,GAZYVA,11,4
1000000002,20251001,GAZYVA,19,7
1000000002,20251101,GAZYVA,16,7
1000000002,20251201,GAZYVA,12,5
1000000003,20240801,GAZYVA,11,3
1000000003,20240901,GAZYVA,29,9
1000000003,20241001,GAZYVA,5,2
1000000003,20241101,GAZYVA,8,2
1000000003,20241201,GAZYVA,5,1
1000000003,20250101,GAZYVA,24,11
1000000003,20250201,GAZYVA,16,4
1000000003,20250301,GAZYVA,25,11
1000000003,20250401,GAZYVA,5,1
1000000003,20250501,GAZYVA,9,2
1000000003,20250601,GAZYVA,16,4
1000000003,20250701,GAZYVA,10,4
1000000003,20250801,GAZYVA,13,2
1000000003,20250901,GAZYVA,10,4
1000000003,20251001,GAZYVA,12,5
1000000003,20251101,GAZYVA,24,5
1000000003,20251201,GAZYVA,25,7
1000000004,20240801,GAZYVA,19,4
1000000004,20240901,GAZYVA,13,5
1000000004,20241001,GAZYVA,7,1
1000000004,20241101,GAZYVA,27,10
1000000004,20241201,GAZYVA,27,10
1000000004,20250101,GAZYVA,27,7
1000000004,20250201,GAZYVA,23,6
1000000004,20250301,GAZYVA,13,4
1000000004,20250401,GAZYVA,29,7
1000000004,20250501,GAZYVA,22,8
